FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
49.671906,88.390495,-47.000000,3.660000,52.500000,5.250000
48.440437,98.713135,-45.000000,3.560000,51.000000,5.250000
47.824703,96.821251,-44.000000,3.390000,49.500000,5.250000
46.593239,93.780060,-42.000000,3.270000,48.000000,5.250000
45.751095,86.832390,-41.000000,3.100000,46.500000,5.250000
43.681072,97.543945,-39.000000,3.000000,45.000000,5.250000
42.646061,97.490524,-38.000000,2.860000,43.500000,5.250000
40.763542,90.031921,-36.000000,2.750000,42.000000,5.250000
39.921833,92.244896,-35.000000,2.650000,40.500000,5.250000
38.238419,97.514465,-33.000000,2.390000,39.000000,5.250000
37.579704,97.416016,-32.000000,2.210000,37.500000,5.250000
36.265980,96.727600,-30.000000,2.110000,36.000000,5.250000
35.609119,92.073837,-29.000000,1.990000,34.500000,5.250000
34.295391,97.186790,-27.000000,1.890000,33.000000,5.250000
33.708027,52.622616,-26.000000,1.750000,31.500000,5.250000
32.554073,42.026615,-24.000000,1.620000,30.000000,5.250000
31.977093,7.053819,-23.000000,1.450000,28.500000,5.250000
30.823137,5.149807,-21.000000,1.360000,27.000000,5.250000
30.246159,1.914189,-20.000000,1.310000,25.500000,5.250000
28.410839,1.881855,-18.000000,1.130000,24.000000,5.250000
27.478985,1.394640,-17.000000,0.920000,22.500000,5.250000
25.615278,2.741574,-15.000000,0.710000,21.000000,5.250000
24.124617,1.428491,-14.000000,0.600000,19.500000,5.250000
22.075306,6.446343,-12.000000,0.430000,18.000000,5.250000
20.681087,0.388151,-11.000000,0.310000,16.500000,5.250000
17.912064,2.708969,-9.000000,0.250000,15.000000,5.250000
16.585970,15.127675,-8.000000,0.150000,13.500000,5.250000
13.323092,4.450523,-6.000000,0.080000,12.000000,5.250000
9.514521,94.904716,-5.000000,0.080000,10.500000,5.250000
1.890378,55.617100,-3.000000,0.040000,9.000000,5.250000
-2.061081,77.486534,-2.000000,0.020000,7.500000,5.250000
-9.964000,18.595684,0.000000,0.050000,4.500000,5.250000
-9.964000,16.420042,0.000000,0.000000,6.000000,5.250000
-7.617493,13.928193,2.000000,0.010000,3.000000,5.250000
-5.466769,47.111313,3.000000,0.050000,1.500000,5.250000
-1.130000,11.471130,5.000000,0.000000,0.000000,5.250000
55.400002,77.611069,-63.000000,5.520000,70.500000,6.750000
55.574081,33.979027,-62.000000,5.410000,69.000000,6.750000
55.922245,79.418221,-60.000000,5.250000,67.500000,6.750000
56.096325,68.064453,-59.000000,5.120000,66.000000,6.750000
55.864971,75.192207,-57.000000,4.950000,64.500000,6.750000
55.340843,90.156647,-56.000000,4.750000,63.000000,6.750000
54.292580,66.716011,-54.000000,4.570000,61.500000,6.750000
53.768452,85.530945,-53.000000,4.400000,60.000000,6.750000
52.720192,80.823502,-51.000000,4.250000,58.500000,6.750000
52.196060,44.221775,-50.000000,4.070000,57.000000,6.750000
50.891178,75.272324,-48.000000,3.840000,55.500000,6.750000
50.088108,46.631794,-47.000000,3.800000,54.000000,6.750000
48.481968,30.072388,-45.000000,3.660000,52.500000,6.750000
47.678902,24.464520,-44.000000,3.560000,51.000000,6.750000
46.072762,10.031103,-42.000000,3.390000,49.500000,6.750000
45.267704,20.335003,-41.000000,3.270000,48.000000,6.750000
43.621803,7.475282,-39.000000,3.100000,46.500000,6.750000
42.798851,4.575306,-38.000000,3.000000,45.000000,6.750000
41.152950,2.025395,-36.000000,2.860000,43.500000,6.750000
40.330002,3.441197,-35.000000,2.750000,42.000000,6.750000
38.440136,1.577126,-33.000000,2.650000,40.500000,6.750000
37.495205,17.888510,-32.000000,2.390000,39.000000,6.750000
35.605343,5.816584,-30.000000,2.210000,37.500000,6.750000
34.660412,52.637218,-29.000000,2.110000,36.000000,6.750000
32.770294,21.297544,-27.000000,1.990000,34.500000,6.750000
31.799706,26.783827,-26.000000,1.890000,33.000000,6.750000
29.858530,25.455084,-24.000000,1.750000,31.500000,6.750000
28.887941,52.423679,-23.000000,1.620000,30.000000,6.750000
26.946764,66.037567,-21.000000,1.450000,28.500000,6.750000
26.151646,57.556828,-20.000000,1.360000,27.000000,6.750000
24.848536,75.488785,-18.000000,1.310000,25.500000,6.750000
24.196981,85.901802,-17.000000,1.130000,24.000000,6.750000
22.893873,92.076813,-15.000000,0.920000,22.500000,6.750000
22.242319,96.300362,-14.000000,0.710000,21.000000,6.750000
20.355513,93.088326,-12.000000,0.600000,19.500000,6.750000
19.000710,95.648560,-11.000000,0.430000,18.000000,6.750000
16.291101,96.411865,-9.000000,0.310000,16.500000,6.750000
14.936297,86.991234,-8.000000,0.250000,15.000000,6.750000
11.140946,61.026161,-6.000000,0.150000,13.500000,6.750000
8.932571,27.542034,-5.000000,0.080000,12.000000,6.750000
3.779962,28.977358,-3.000000,0.080000,10.500000,6.750000
-1.019467,0.000000,-2.000000,0.040000,9.000000,6.750000
-11.298410,98.821274,0.000000,0.000000,6.000000,6.750000
-11.004966,97.475937,0.000000,0.020000,7.500000,6.750000
-12.317858,76.951378,2.000000,0.050000,4.500000,6.750000
-6.696223,67.190948,3.000000,0.010000,3.000000,6.750000
10.348492,48.204769,5.000000,0.050000,1.500000,6.750000
12.690000,80.754791,6.000000,0.000000,0.000000,6.750000
56.299999,28.243643,-62.000000,5.520000,70.500000,8.250000
56.393265,72.142540,-60.000000,5.410000,69.000000,8.250000
56.439896,72.264984,-59.000000,5.250000,67.500000,8.250000
56.533161,34.418385,-57.000000,5.120000,66.000000,8.250000
56.579792,41.857944,-56.000000,4.950000,64.500000,8.250000
56.478973,31.785366,-54.000000,4.750000,63.000000,8.250000
55.832443,41.548630,-53.000000,4.570000,61.500000,8.250000
54.539383,44.028149,-51.000000,4.400000,60.000000,8.250000
53.892853,30.233950,-50.000000,4.250000,58.500000,8.250000
52.599792,73.618500,-48.000000,4.070000,57.000000,8.250000
51.953266,39.796021,-47.000000,3.840000,55.500000,8.250000
50.606903,72.194786,-45.000000,3.800000,54.000000,8.250000
49.924835,59.463245,-44.000000,3.660000,52.500000,8.250000
48.560707,72.919876,-42.000000,3.560000,51.000000,8.250000
47.878643,59.881008,-41.000000,3.390000,49.500000,8.250000
46.517200,62.264748,-39.000000,3.270000,48.000000,8.250000
45.854351,52.379192,-38.000000,3.100000,46.500000,8.250000
44.528648,66.905174,-36.000000,3.000000,45.000000,8.250000
43.865795,61.604267,-35.000000,2.860000,43.500000,8.250000
42.540092,56.626343,-33.000000,2.750000,42.000000,8.250000
41.877243,37.874981,-32.000000,2.650000,40.500000,8.250000
40.551540,25.430885,-30.000000,2.390000,39.000000,8.250000
39.913540,22.644585,-29.000000,2.210000,37.500000,8.250000
38.681622,19.922428,-27.000000,2.110000,36.000000,8.250000
38.065662,16.112116,-26.000000,1.990000,34.500000,8.250000
36.833740,17.256559,-24.000000,1.890000,33.000000,8.250000
36.217781,10.578387,-23.000000,1.750000,31.500000,8.250000
34.809750,10.327065,-21.000000,1.620000,30.000000,8.250000
33.848480,4.925198,-20.000000,1.450000,28.500000,8.250000
31.925934,11.336073,-18.000000,1.360000,27.000000,8.250000
30.964661,8.232364,-17.000000,1.310000,25.500000,8.250000
29.042116,15.571168,-15.000000,1.130000,24.000000,8.250000
27.872841,11.329629,-14.000000,0.920000,22.500000,8.250000
24.464556,4.568381,-12.000000,0.710000,21.000000,8.250000
22.760414,13.373080,-11.000000,0.600000,19.500000,8.250000
19.352131,15.768433,-9.000000,0.430000,18.000000,8.250000
17.647987,20.929464,-8.000000,0.310000,16.500000,8.250000
14.239704,37.058716,-6.000000,0.250000,15.000000,8.250000
11.311477,59.724861,-5.000000,0.150000,13.500000,8.250000
4.953588,57.930882,-3.000000,0.080000,12.000000,8.250000
-6.543588,68.112389,-2.000000,0.080000,10.500000,8.250000
-15.580000,64.993080,0.000000,0.020000,7.500000,8.250000
-16.098286,6.448671,0.000000,0.040000,9.000000,8.250000
-11.760555,17.067995,2.000000,0.000000,6.000000,8.250000
