G1WE48E2.bin
         2.00
11
1
Type of measurement (0=app. resistivity,1=resistance)
0
360
 2
0
4  26.00  0.00 50.00  0.00 34.00  0.00 42.00  0.00 461.74 
4  26.00  0.00 44.00  0.00 32.00  0.00 38.00  0.00 581.62 
4  26.00  0.00 38.00  0.00 30.00  0.00 34.00  0.00 777.15 
4  26.00  0.00 32.00  0.00 28.00  0.00 30.00  0.00 949.21 
4  28.00  0.00 94.00  0.00 50.00  0.00 72.00  0.00 646.54 
4  28.00  0.00 88.00  0.00 48.00  0.00 68.00  0.00 626.07 
4  28.00  0.00 82.00  0.00 46.00  0.00 64.00  0.00 506.16 
4  28.00  0.00 76.00  0.00 44.00  0.00 60.00  0.00 380.56 
4  28.00  0.00 70.00  0.00 42.00  0.00 56.00  0.00 328.60 
4  28.00  0.00 64.00  0.00 40.00  0.00 52.00  0.00 349.29 
4  28.00  0.00 58.00  0.00 38.00  0.00 48.00  0.00 383.17 
4  28.00  0.00 52.00  0.00 36.00  0.00 44.00  0.00 423.11 
4  28.00  0.00 46.00  0.00 34.00  0.00 40.00  0.00 599.82 
4  28.00  0.00 40.00  0.00 32.00  0.00 36.00  0.00 878.34 
4  28.00  0.00 34.00  0.00 30.00  0.00 32.00  0.00 1195.47 
4  30.00  0.00 90.00  0.00 50.00  0.00 70.00  0.00 635.34 
4  30.00  0.00 84.00  0.00 48.00  0.00 66.00  0.00 559.32 
4  30.00  0.00 78.00  0.00 46.00  0.00 62.00  0.00 429.85 
4  30.00  0.00 72.00  0.00 44.00  0.00 58.00  0.00 352.58 
4  30.00  0.00 66.00  0.00 42.00  0.00 54.00  0.00 304.66 
4  30.00  0.00 60.00  0.00 40.00  0.00 50.00  0.00 365.37 
4  30.00  0.00 54.00  0.00 38.00  0.00 46.00  0.00 395.28 
4  30.00  0.00 48.00  0.00 36.00  0.00 42.00  0.00 576.33 
4  30.00  0.00 42.00  0.00 34.00  0.00 38.00  0.00 892.88 
4  30.00  0.00 36.00  0.00 32.00  0.00 34.00  0.00 1365.01 
4  32.00  0.00 92.00  0.00 52.00  0.00 72.00  0.00 652.37 
4  32.00  0.00 86.00  0.00 50.00  0.00 68.00  0.00 623.70 
4  32.00  0.00 80.00  0.00 48.00  0.00 64.00  0.00 485.74 
4  32.00  0.00 74.00  0.00 46.00  0.00 60.00  0.00 381.40 
4  32.00  0.00 68.00  0.00 44.00  0.00 56.00  0.00 316.23 
4  32.00  0.00 62.00  0.00 42.00  0.00 52.00  0.00 337.22 
4  32.00  0.00 56.00  0.00 40.00  0.00 48.00  0.00 387.32 
4  32.00  0.00 50.00  0.00 38.00  0.00 44.00  0.00 499.99 
4  32.00  0.00 44.00  0.00 36.00  0.00 40.00  0.00 849.99 
4  32.00  0.00 38.00  0.00 34.00  0.00 36.00  0.00 1422.60 
4  34.00  0.00 94.00  0.00 54.00  0.00 74.00  0.00 710.25 
4  34.00  0.00 88.00  0.00 52.00  0.00 70.00  0.00 650.43 
4  34.00  0.00 82.00  0.00 50.00  0.00 66.00  0.00 545.58 
4  34.00  0.00 76.00  0.00 48.00  0.00 62.00  0.00 418.07 
4  34.00  0.00 70.00  0.00 46.00  0.00 58.00  0.00 349.87 
4  34.00  0.00 64.00  0.00 44.00  0.00 54.00  0.00 304.60 
4  34.00  0.00 58.00  0.00 42.00  0.00 50.00  0.00 365.02 
4  34.00  0.00 52.00  0.00 40.00  0.00 46.00  0.00 448.91 
4  34.00  0.00 46.00  0.00 38.00  0.00 42.00  0.00 752.74 
4  34.00  0.00 40.00  0.00 36.00  0.00 38.00  0.00 1574.94 
4  36.00  0.00 90.00  0.00 54.00  0.00 72.00  0.00 684.86 
4  36.00  0.00 84.00  0.00 52.00  0.00 68.00  0.00 624.81 
4  36.00  0.00 78.00  0.00 50.00  0.00 64.00  0.00 479.02 
4  36.00  0.00 72.00  0.00 48.00  0.00 60.00  0.00 391.91 
4  36.00  0.00 66.00  0.00 46.00  0.00 56.00  0.00 342.56 
4  36.00  0.00 60.00  0.00 44.00  0.00 52.00  0.00 360.09 
4  36.00  0.00 54.00  0.00 42.00  0.00 48.00  0.00 427.16 
4  36.00  0.00 48.00  0.00 40.00  0.00 44.00  0.00 708.78 
4  36.00  0.00 42.00  0.00 38.00  0.00 40.00  0.00 1368.69 
4  38.00  0.00 92.00  0.00 56.00  0.00 74.00  0.00 733.05 
4  38.00  0.00 86.00  0.00 54.00  0.00 70.00  0.00 677.66 
4  38.00  0.00 80.00  0.00 52.00  0.00 66.00  0.00 534.27 
4  38.00  0.00 74.00  0.00 50.00  0.00 62.00  0.00 433.79 
4  38.00  0.00 68.00  0.00 48.00  0.00 58.00  0.00 359.10 
4  38.00  0.00 62.00  0.00 46.00  0.00 54.00  0.00 330.45 
4  38.00  0.00 56.00  0.00 44.00  0.00 50.00  0.00 398.01 
4  38.00  0.00 50.00  0.00 42.00  0.00 46.00  0.00 592.78 
4  38.00  0.00 44.00  0.00 40.00  0.00 42.00  0.00 1213.82 
4  40.00  0.00 94.00  0.00 58.00  0.00 76.00  0.00 766.20 
4  40.00  0.00 88.00  0.00 56.00  0.00 72.00  0.00 709.49 
4  40.00  0.00 82.00  0.00 54.00  0.00 68.00  0.00 635.48 
4  40.00  0.00 76.00  0.00 52.00  0.00 64.00  0.00 467.39 
4  40.00  0.00 70.00  0.00 50.00  0.00 60.00  0.00 387.09 
4  40.00  0.00 64.00  0.00 48.00  0.00 56.00  0.00 350.72 
4  40.00  0.00 58.00  0.00 46.00  0.00 52.00  0.00 371.41 
4  40.00  0.00 52.00  0.00 44.00  0.00 48.00  0.00 459.14 
4  40.00  0.00 46.00  0.00 42.00  0.00 44.00  0.00 943.89 
4  42.00  0.00 90.00  0.00 58.00  0.00 74.00  0.00 746.03 
4  42.00  0.00 84.00  0.00 56.00  0.00 70.00  0.00 676.70 
4  42.00  0.00 78.00  0.00 54.00  0.00 66.00  0.00 543.53 
4  42.00  0.00 72.00  0.00 52.00  0.00 62.00  0.00 430.39 
4  42.00  0.00 66.00  0.00 50.00  0.00 58.00  0.00 364.97 
4  42.00  0.00 60.00  0.00 48.00  0.00 54.00  0.00 317.17 
4  42.00  0.00 54.00  0.00 46.00  0.00 50.00  0.00 385.04 
4  42.00  0.00 48.00  0.00 44.00  0.00 46.00  0.00 703.08 
4  44.00  0.00 92.00  0.00 60.00  0.00 76.00  0.00 763.71 
4  44.00  0.00 86.00  0.00 58.00  0.00 72.00  0.00 699.49 
4  44.00  0.00 80.00  0.00 56.00  0.00 68.00  0.00 613.64 
4  44.00  0.00 74.00  0.00 54.00  0.00 64.00  0.00 497.02 
4  44.00  0.00 68.00  0.00 52.00  0.00 60.00  0.00 358.86 
4  44.00  0.00 62.00  0.00 50.00  0.00 56.00  0.00 329.50 
4  44.00  0.00 56.00  0.00 48.00  0.00 52.00  0.00 334.60 
4  44.00  0.00 50.00  0.00 46.00  0.00 48.00  0.00 547.72 
4  46.00  0.00 94.00  0.00 62.00  0.00 78.00  0.00 723.23 
4  46.00  0.00 88.00  0.00 60.00  0.00 74.00  0.00 747.35 
4  46.00  0.00 82.00  0.00 58.00  0.00 70.00  0.00 641.29 
4  46.00  0.00 76.00  0.00 56.00  0.00 66.00  0.00 521.92 
4  46.00  0.00 70.00  0.00 54.00  0.00 62.00  0.00 437.34 
4  46.00  0.00 64.00  0.00 52.00  0.00 58.00  0.00 326.97 
4  46.00  0.00 58.00  0.00 50.00  0.00 54.00  0.00 272.39 
4  46.00  0.00 52.00  0.00 48.00  0.00 50.00  0.00 391.12 
4  48.00  0.00 90.00  0.00 62.00  0.00 76.00  0.00 750.54 
4  48.00  0.00 84.00  0.00 60.00  0.00 72.00  0.00 668.73 
4  48.00  0.00 78.00  0.00 58.00  0.00 68.00  0.00 581.99 
4  48.00  0.00 72.00  0.00 56.00  0.00 64.00  0.00 496.26 
4  48.00  0.00 66.00  0.00 54.00  0.00 60.00  0.00 395.45 
4  48.00  0.00 60.00  0.00 52.00  0.00 56.00  0.00 283.76 
4  48.00  0.00 54.00  0.00 50.00  0.00 52.00  0.00 351.50 
4  50.00  0.00 92.00  0.00 64.00  0.00 78.00  0.00 695.75 
4  50.00  0.00 86.00  0.00 62.00  0.00 74.00  0.00 715.18 
4  50.00  0.00 80.00  0.00 60.00  0.00 70.00  0.00 594.34 
4  50.00  0.00 74.00  0.00 58.00  0.00 66.00  0.00 524.96 
4  50.00  0.00 68.00  0.00 56.00  0.00 62.00  0.00 436.15 
4  50.00  0.00 62.00  0.00 54.00  0.00 58.00  0.00 361.00 
4  50.00  0.00 56.00  0.00 52.00  0.00 54.00  0.00 320.33 
4  52.00  0.00 94.00  0.00 66.00  0.00 80.00  0.00 651.39 
4  52.00  0.00 88.00  0.00 64.00  0.00 76.00  0.00 737.21 
4  52.00  0.00 82.00  0.00 62.00  0.00 72.00  0.00 609.48 
4  52.00  0.00 76.00  0.00 60.00  0.00 68.00  0.00 547.79 
4  52.00  0.00 70.00  0.00 58.00  0.00 64.00  0.00 484.64 
4  52.00  0.00 64.00  0.00 56.00  0.00 60.00  0.00 416.16 
4  52.00  0.00 58.00  0.00 54.00  0.00 56.00  0.00 415.28 
4  54.00  0.00 90.00  0.00 66.00  0.00 78.00  0.00 671.46 
4  54.00  0.00 84.00  0.00 64.00  0.00 74.00  0.00 660.17 
4  54.00  0.00 78.00  0.00 62.00  0.00 70.00  0.00 535.14 
4  54.00  0.00 72.00  0.00 60.00  0.00 66.00  0.00 513.12 
4  54.00  0.00 66.00  0.00 58.00  0.00 62.00  0.00 515.18 
4  54.00  0.00 60.00  0.00 56.00  0.00 58.00  0.00 591.34 
4  56.00  0.00 92.00  0.00 68.00  0.00 80.00  0.00 635.26 
4  56.00  0.00 86.00  0.00 66.00  0.00 76.00  0.00 730.43 
4  56.00  0.00 80.00  0.00 64.00  0.00 72.00  0.00 570.18 
4  56.00  0.00 74.00  0.00 62.00  0.00 68.00  0.00 591.59 
4  56.00  0.00 68.00  0.00 60.00  0.00 64.00  0.00 567.78 
4  56.00  0.00 62.00  0.00 58.00  0.00 60.00  0.00 844.06 
4  58.00  0.00 94.00  0.00 70.00  0.00 82.00  0.00 614.45 
4  58.00  0.00 88.00  0.00 68.00  0.00 78.00  0.00 699.96 
4  58.00  0.00 82.00  0.00 66.00  0.00 74.00  0.00 667.15 
4  58.00  0.00 76.00  0.00 64.00  0.00 70.00  0.00 559.68 
4  58.00  0.00 70.00  0.00 62.00  0.00 66.00  0.00 629.88 
4  58.00  0.00 64.00  0.00 60.00  0.00 62.00  0.00 1051.17 
4  60.00  0.00 90.00  0.00 70.00  0.00 80.00  0.00 684.27 
4  60.00  0.00 84.00  0.00 68.00  0.00 76.00  0.00 723.47 
4  60.00  0.00 78.00  0.00 66.00  0.00 72.00  0.00 588.45 
