FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
52.185692,0.395775,-56.000000,4.570000,61.500000,5.250000
51.725643,0.039861,-54.000000,4.400000,60.000000,5.250000
51.495617,7.887676,-53.000000,4.250000,58.500000,5.250000
51.035568,0.615823,-51.000000,4.070000,57.000000,5.250000
50.805546,33.925617,-50.000000,3.840000,55.500000,5.250000
50.287640,1.629779,-48.000000,3.800000,54.000000,5.250000
49.671906,12.555175,-47.000000,3.660000,52.500000,5.250000
48.440437,2.224577,-45.000000,3.560000,51.000000,5.250000
47.824703,4.538677,-44.000000,3.390000,49.500000,5.250000
46.593239,7.508118,-42.000000,3.270000,48.000000,5.250000
45.751095,13.970804,-41.000000,3.100000,46.500000,5.250000
43.681072,0.026014,-39.000000,3.000000,45.000000,5.250000
42.646061,0.026243,-38.000000,2.860000,43.500000,5.250000
40.763542,0.004122,-36.000000,2.750000,42.000000,5.250000
39.921833,0.000000,-35.000000,2.650000,40.500000,5.250000
38.238419,0.023970,-33.000000,2.390000,39.000000,5.250000
37.579704,0.025399,-32.000000,2.210000,37.500000,5.250000
36.265980,2.847777,-30.000000,2.110000,36.000000,5.250000
35.609119,8.134961,-29.000000,1.990000,34.500000,5.250000
34.295391,3.715037,-27.000000,1.890000,33.000000,5.250000
33.708027,38.641758,-26.000000,1.750000,31.500000,5.250000
32.554073,45.347862,-24.000000,1.620000,30.000000,5.250000
31.977093,78.456703,-23.000000,1.450000,28.500000,5.250000
30.823137,84.365997,-21.000000,1.360000,27.000000,5.250000
30.246159,94.574387,-20.000000,1.310000,25.500000,5.250000
28.410839,95.285179,-18.000000,1.130000,24.000000,5.250000
27.478985,96.727173,-17.000000,0.920000,22.500000,5.250000
25.615278,92.666939,-15.000000,0.710000,21.000000,5.250000
24.124617,97.407005,-14.000000,0.600000,19.500000,5.250000
22.075306,80.489517,-12.000000,0.430000,18.000000,5.250000
20.681087,98.927017,-11.000000,0.310000,16.500000,5.250000
18.108067,89.335320,-9.000000,0.250000,15.000000,5.250000
17.469702,74.696877,-8.000000,0.150000,13.500000,5.250000
16.183649,96.373436,-6.000000,0.080000,12.000000,5.250000
15.384490,81.886497,-5.000000,0.080000,10.500000,5.250000
13.167546,99.757675,-3.000000,0.040000,9.000000,5.250000
9.350698,0.691484,-2.000000,0.020000,7.500000,5.250000
0.761569,97.082352,0.000000,0.050000,4.500000,5.250000
1.717000,95.557312,0.000000,0.000000,6.000000,5.250000
6.851152,97.368492,2.000000,0.010000,3.000000,5.250000
10.682449,72.083893,3.000000,0.050000,1.500000,5.250000
16.459999,81.359840,5.000000,0.000000,0.000000,5.250000
55.400002,0.859680,-63.000000,5.520000,70.500000,6.750000
55.574081,24.852264,-62.000000,5.410000,69.000000,6.750000
55.922245,0.923518,-60.000000,5.250000,67.500000,6.750000
56.096325,5.514632,-59.000000,5.120000,66.000000,6.750000
55.864971,2.166964,-57.000000,4.950000,64.500000,6.750000
55.340843,0.001300,-56.000000,4.750000,63.000000,6.750000
54.292580,5.733408,-54.000000,4.570000,61.500000,6.750000
53.768452,0.159435,-53.000000,4.400000,60.000000,6.750000
52.720192,0.976614,-51.000000,4.250000,58.500000,6.750000
52.196060,18.171810,-50.000000,4.070000,57.000000,6.750000
50.891178,3.028891,-48.000000,3.840000,55.500000,6.750000
50.088108,16.798393,-47.000000,3.800000,54.000000,6.750000
48.481968,27.042072,-45.000000,3.660000,52.500000,6.750000
47.678902,30.885103,-44.000000,3.560000,51.000000,6.750000
